box size : [5.37307 7.87469 8.30948]
division number : 5 5 5
box volume : [351.58457372]
box density : [2.30385535]
cell size : [1.074614 1.574938 1.661896]
cell volume : [2.81267659]
number  : 16
cell density  : [5.68853172]
number  : 19
cell density  : [6.75513142]
number  : 15
cell density  : [5.33299849]
number  : 16
cell density  : [5.68853172]
number  : 16
cell density  : [5.68853172]
number  : 10
cell density  : [3.55533233]
number  : 11
cell density  : [3.91086556]
number  : 16
cell density  : [5.68853172]
number  : 16
cell density  : [5.68853172]
number  : 22
cell density  : [7.82173112]
number  : 9
cell density  : [3.19979909]
number  : 14
cell density  : [4.97746526]
number  : 17
cell density  : [6.04406495]
number  : 11
cell density  : [3.91086556]
number  : 13
cell density  : [4.62193202]
number  : 13
cell density  : [4.62193202]
number  : 11
cell density  : [3.91086556]
number  : 9
cell density  : [3.19979909]
number  : 10
cell density  : [3.55533233]
number  : 10
cell density  : [3.55533233]
number  : 11
cell density  : [3.91086556]
number  : 9
cell density  : [3.19979909]
number  : 18
cell density  : [6.39959819]
number  : 11
cell density  : [3.91086556]
number  : 11
cell density  : [3.91086556]
number  : 10
cell density  : [3.55533233]
number  : 13
cell density  : [4.62193202]
number  : 15
cell density  : [5.33299849]
number  : 23
cell density  : [8.17726435]
number  : 11
cell density  : [3.91086556]
number  : 12
cell density  : [4.26639879]
number  : 9
cell density  : [3.19979909]
number  : 11
cell density  : [3.91086556]
number  : 23
cell density  : [8.17726435]
number  : 12
cell density  : [4.26639879]
number  : 15
cell density  : [5.33299849]
number  : 10
cell density  : [3.55533233]
number  : 9
cell density  : [3.19979909]
number  : 9
cell density  : [3.19979909]
number  : 15
cell density  : [5.33299849]
number  : 15
cell density  : [5.33299849]
number  : 11
cell density  : [3.91086556]
number  : 9
cell density  : [3.19979909]
number  : 13
cell density  : [4.62193202]
